+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+---------------------------------+
| Item                                                                     | Self time | % of total time | Time     | Item count | Cache hits | Incremental result hashing time |
| def_ident_span ........................................................  | 2.34ms    | 0.002           | 2.83ms   | 2300       | 31164      | 1.39ms                          |
| visibility ............................................................  | 2.34ms    | 0.002           | 1.15ms   | 1259       | 423482     | 2.03ms                          |
| constness .............................................................  | 2.33ms    | 0.002           | 2.98ms   | 4399       | 55604      | 908.12µs                        |
| adt_dtorck_constraint .................................................  | 2.32ms    | 0.002           | 21.16ms  | 1051       | 60026      | 223.79µs                        |
| metadata_decode_entry_exported_generic_symbols ........................  | 2.31ms    | 0.002           | 2.31ms   | 231        | 0          | 0.00ns                          |
| mir_pass_force_inline .................................................  | 2.29ms    | 0.002           | 2.29ms   | 8034       | 0          | 0.00ns                          |
| check_private_in_public ...............................................  | 2.26ms    | 0.002           | 2.38ms   | 26         | 0          | 3.82µs                          |
| in_scope_traits_map ...................................................  | 2.25ms    | 0.002           | 2.40ms   | 1476       | 9702       | 1.66ms                          |
| upstream_monomorphizations_for ........................................  | 2.24ms    | 0.002           | 5.54ms   | 4001       | 195234     | 997.01µs                        |
| metadata_decode_entry_def_kind ........................................  | 2.24ms    | 0.002           | 2.24ms   | 16404      | 0          | 0.00ns                          |
| metadata_decode_entry_codegen_fn_attrs ................................  | 2.22ms    | 0.002           | 2.22ms   | 7471       | 0          | 0.00ns                          |
| metadata_decode_entry_promoted_mir ....................................  | 2.22ms    | 0.002           | 2.22ms   | 503        | 0          | 0.00ns                          |
| get_lang_items ........................................................  | 2.22ms    | 0.002           | 2.59ms   | 1          | 8412983    | 4.90µs                          |
| mir_pass_unreachable_propagation ......................................  | 2.18ms    | 0.002           | 2.18ms   | 1509       | 0          | 0.00ns                          |
| link_binary_remove_temps ..............................................  | 2.10ms    | 0.002           | 2.10ms   | 1          | 0          | 0.00ns                          |
| metadata_load_macro ...................................................  | 2.09ms    | 0.002           | 2.09ms   | 72         | 0          | 0.00ns                          |
| check_transmutes ......................................................  | 2.06ms    | 0.001           | 3.94ms   | 2601       | 0          | 285.05µs                        |
| adt_sizedness_constraint ..............................................  | 1.99ms    | 0.001           | 14.68ms  | 1927       | 569303     | 378.21µs                        |
| inhabited_predicate_type ..............................................  | 1.96ms    | 0.001           | 9.10ms   | 3019       | 25533      | 547.15µs                        |
| thir_abstract_const ...................................................  | 1.94ms    | 0.001           | 2.21ms   | 3900       | 159        | 926.30µs                        |
| associated_item_def_ids ...............................................  | 1.93ms    | 0.001           | 4.43ms   | 3184       | 8833       | 687.42µs                        |
| mir_pass_single_use_consts ............................................  | 1.87ms    | 0.001           | 1.87ms   | 1509       | 0          | 0.00ns                          |
| metadata_decode_entry_impl_parent .....................................  | 1.86ms    | 0.001           | 1.86ms   | 35697      | 0          | 0.00ns                          |
| drop_compiler .........................................................  | 1.86ms    | 0.001           | 1.86ms   | 1          | 0          | 0.00ns                          |
| type_check_crate ......................................................  | 1.86ms    | 0.001           | 2.87s    | 1          | 0          | 0.00ns                          |
| mir_pass_impossible_predicates ........................................  | 1.84ms    | 0.001           | 1.84ms   | 5458       | 0          | 0.00ns                          |
| mir_pass_check_packed_ref .............................................  | 1.82ms    | 0.001           | 1.82ms   | 3734       | 0          | 0.00ns                          |
| is_sized_raw ..........................................................  | 1.76ms    | 0.001           | 6.52ms   | 1518       | 27920      | 199.29µs                        |
| mir_pass_check_null ...................................................  | 1.75ms    | 0.001           | 1.75ms   | 1509       | 0          | 0.00ns                          |
| impl_item_implementor_ids .............................................  | 1.70ms    | 0.001           | 10.65ms  | 2421       | 340415     | 603.11µs                        |
| type_op_normalize_ty ..................................................  | 1.64ms    | 0.001           | 2.00ms   | 1137       | 3337       | 290.28µs                        |
| opt_hir_owner_nodes ...................................................  | 1.62ms    | 0.001           | 100.02ms | 5882       | 694520     | 806.60µs                        |
| is_async_drop_raw .....................................................  | 1.61ms    | 0.001           | 5.16ms   | 1482       | 9208       | 197.80µs                        |
